交易号,商品编码,商品名称,品类,数量,交易日期,单价(元)
100926,SKU67417,沐浴露,日化清洁,5,2026-06-07,29.16
100926,SKU74528,方便面,食品饮料,3,2026-06-07,6.37
100926,SKU35069,糖粉,烘焙用品,1,2026-06-07,61.9
100927,SKU97349,纸巾,日化清洁,1,2026-03-15,73.34
100927,SKU61468,垃圾袋,日化清洁,1,2026-03-15,6.71
100928,SKU14119,黄瓜,生鲜蔬果,3,2026-05-22,29.81
100928,SKU76385,白糖,粮油调味,2,2026-05-22,35.99
100928,SKU47252,排骨,肉禽蛋品,5,2026-05-22,56.8
100928,SKU49307,西红柿,生鲜蔬果,1,2026-05-22,8.54
100929,SKU99918,食用油,粮油调味,2,2026-02-08,73.02
100929,SKU15990,蔬菜拼盘,火锅食材,5,2026-02-08,29.22
100929,SKU14359,纸巾,日化清洁,3,2026-02-08,32.87
100929,SKU73818,沐浴露,日化清洁,1,2026-02-08,34.38
100930,SKU67571,苹果,生鲜蔬果,5,2026-01-21,32.79
100930,SKU41671,香蕉,生鲜蔬果,4,2026-01-21,23.23
100930,SKU99157,橙子,生鲜蔬果,4,2026-01-21,41.57
100930,SKU38548,葡萄,生鲜蔬果,2,2026-01-21,58.18
100930,SKU47876,胡萝卜,生鲜蔬果,2,2026-01-21,46.91
100931,SKU30601,蚝油,粮油调味,4,2026-05-19,38.3
100931,SKU38569,土豆,生鲜蔬果,3,2026-05-19,28.26
100931,SKU11448,西红柿,生鲜蔬果,2,2026-05-19,51.73
100931,SKU59739,蛋糕粉,烘焙用品,1,2026-05-19,40.98
100932,SKU43393,可乐,食品饮料,1,2026-06-09,38.37
100932,SKU92278,薯片,食品饮料,2,2026-06-09,47.82
100932,SKU85062,饼干,食品饮料,2,2026-06-09,53.93
100933,SKU94299,牙膏,日化清洁,1,2026-03-08,46.99
100933,SKU16081,鸡肉,肉禽蛋品,4,2026-03-08,67.6
100933,SKU93519,生菜,生鲜蔬果,3,2026-03-08,21.81
100933,SKU64264,黄瓜,生鲜蔬果,5,2026-03-08,45.8
100934,SKU38828,蛋糕粉,烘焙用品,4,2026-09-09,33.23
100934,SKU10851,黄油,烘焙用品,2,2026-09-09,50.45
100934,SKU53845,淡奶油,烘焙用品,3,2026-09-09,72.02
100934,SKU83737,鸡蛋,肉禽蛋品,4,2026-09-09,28.72
100934,SKU81176,牛肉,肉禽蛋品,5,2026-09-09,63.83
100935,SKU16085,牛肉,肉禽蛋品,3,2026-08-11,15.9
100935,SKU41492,面粉,粮油调味,2,2026-08-11,76.4
100935,SKU33485,蛋挞皮,烘焙用品,4,2026-08-11,54.67
100936,SKU70734,大米,粮油调味,1,2026-01-23,22.7
100936,SKU26525,食用油,粮油调味,1,2026-01-23,56.51
100936,SKU25012,酱油,粮油调味,1,2026-01-23,72.86
100936,SKU31247,粉丝,火锅食材,1,2026-01-23,64.69
100937,SKU32052,酱油,粮油调味,4,2026-04-23,56.93
100937,SKU89691,醋,粮油调味,1,2026-04-23,52.82
100938,SKU10560,洗发水,日化清洁,5,2026-03-03,73.06
100938,SKU66850,沐浴露,日化清洁,3,2026-03-03,46.55
100938,SKU75946,牙膏,日化清洁,1,2026-03-03,62.51
100938,SKU58683,粉丝,火锅食材,4,2026-03-03,19.28
100939,SKU16598,洗衣液,日化清洁,5,2026-06-18,42.79
100939,SKU72750,油纸,烘焙用品,3,2026-06-18,73.62
100939,SKU89150,火锅底料,火锅食材,5,2026-06-18,61.95
100939,SKU59209,面粉,粮油调味,2,2026-06-18,8.17
100939,SKU76652,鸡肉,肉禽蛋品,5,2026-06-18,75.58
100939,SKU32593,消毒液,日化清洁,5,2026-06-18,39.93
100940,SKU72491,西红柿,生鲜蔬果,5,2026-09-09,13.63
100940,SKU33282,鸡蛋,肉禽蛋品,2,2026-09-09,3.09
100940,SKU48606,黄瓜,生鲜蔬果,5,2026-09-09,19.46
100940,SKU39968,鸡肉,肉禽蛋品,5,2026-09-09,12.81
100941,SKU46537,面包,食品饮料,3,2026-03-22,24.46
100941,SKU78799,牛肉,肉禽蛋品,2,2026-03-22,59.3
100942,SKU46306,盐,粮油调味,2,2026-02-03,78.36
100942,SKU27196,黄瓜,生鲜蔬果,2,2026-02-03,19.86
100942,SKU75277,鸡翅,肉禽蛋品,2,2026-02-03,58.2
100942,SKU26671,苹果,生鲜蔬果,3,2026-02-03,68.49
100943,SKU53970,洗衣液,日化清洁,5,2026-02-08,10.2
100943,SKU61887,纸巾,日化清洁,1,2026-02-08,34.35
100943,SKU17528,垃圾袋,日化清洁,2,2026-02-08,3.22
100943,SKU87970,鸡翅,肉禽蛋品,3,2026-02-08,58.07
100944,SKU99625,纸巾,日化清洁,2,2026-04-27,62.13
100944,SKU88409,蛋糕粉,烘焙用品,1,2026-04-27,53.19
100944,SKU99887,鸡肉,肉禽蛋品,1,2026-04-27,35.01
100944,SKU59560,蘸料,火锅食材,1,2026-04-27,39.17
100944,SKU30856,蚝油,粮油调味,5,2026-04-27,6.15
100945,SKU60737,牛奶,食品饮料,3,2026-09-07,8.15
100945,SKU84381,面包,食品饮料,4,2026-09-07,15.49
100945,SKU36610,酸奶,食品饮料,1,2026-09-07,64.71
100945,SKU11833,蔬菜拼盘,火锅食材,1,2026-09-07,35.32
100946,SKU15318,洗发水,日化清洁,4,2026-09-02,76.46
100946,SKU61642,沐浴露,日化清洁,4,2026-09-02,21.01
100946,SKU77127,牙膏,日化清洁,2,2026-09-02,9.48
100946,SKU17922,酵母,烘焙用品,4,2026-09-02,30.88
100946,SKU43388,蛋糕粉,烘焙用品,3,2026-09-02,47.75
100947,SKU39454,可乐,食品饮料,5,2026-05-21,62.31
100947,SKU11118,薯片,食品饮料,5,2026-05-21,35.1
100947,SKU59404,饼干,食品饮料,3,2026-05-21,52.84
100947,SKU26970,盐,粮油调味,2,2026-05-21,37.93
100947,SKU66864,巧克力,食品饮料,2,2026-05-21,32.67
100948,SKU55026,蛋糕粉,烘焙用品,2,2026-02-03,73.81
100948,SKU44937,黄油,烘焙用品,5,2026-02-03,56.55
100948,SKU77461,淡奶油,烘焙用品,2,2026-02-03,10.81
100948,SKU15149,鸡蛋,肉禽蛋品,5,2026-02-03,51.99
100948,SKU87872,料酒,粮油调味,5,2026-02-03,59.59
100949,SKU83361,虾仁,肉禽蛋品,3,2026-02-24,19.99
100949,SKU27560,牛奶,食品饮料,3,2026-02-24,64.98
100949,SKU34465,巧克力,食品饮料,3,2026-02-24,75.94
100949,SKU57798,猪肉,肉禽蛋品,3,2026-02-24,54.34
100949,SKU42181,消毒液,日化清洁,5,2026-02-24,21.16
100950,SKU57951,牛奶,食品饮料,1,2026-05-07,57.39
100950,SKU13668,胡萝卜,生鲜蔬果,5,2026-05-07,41.46
100951,SKU62609,排骨,肉禽蛋品,3,2026-06-24,64.3
100951,SKU45160,胡萝卜,生鲜蔬果,5,2026-06-24,57.83
100951,SKU57250,土豆,生鲜蔬果,3,2026-06-24,75.92
100951,SKU83966,拖把,日化清洁,2,2026-06-24,36.62
100951,SKU45501,饼干,食品饮料,4,2026-06-24,79.32
100951,SKU87941,羊肉卷,火锅食材,4,2026-06-24,32.77
100952,SKU33210,芝士碎,烘焙用品,3,2026-09-13,12.74
100952,SKU12900,白糖,粮油调味,3,2026-09-13,24.99
100953,SKU52348,牙膏,日化清洁,4,2026-09-23,48.89
100953,SKU62045,巧克力,食品饮料,3,2026-09-23,47.33
100953,SKU33818,鸭血,火锅食材,3,2026-09-23,68.01
100953,SKU41395,牛肉,肉禽蛋品,1,2026-09-23,68.72
100953,SKU46199,洗发水,日化清洁,1,2026-09-23,37.9
100953,SKU87136,酱油,粮油调味,2,2026-09-23,21.45
100954,SKU42481,火锅底料,火锅食材,5,2026-02-09,47.93
100954,SKU25249,丸子,火锅食材,2,2026-02-09,75.45
100954,SKU50494,肥牛卷,火锅食材,3,2026-02-09,62.81
100954,SKU17318,橙子,生鲜蔬果,2,2026-02-09,58.32
100954,SKU38837,方便面,食品饮料,4,2026-02-09,46.63
100955,SKU79576,牛奶,食品饮料,1,2026-08-08,41.17
100955,SKU28623,面包,食品饮料,3,2026-08-08,73.82
100955,SKU81956,蘸料,火锅食材,1,2026-08-08,9.11
100956,SKU76255,薯片,食品饮料,2,2026-08-03,36.34
100956,SKU99165,洗衣液,日化清洁,4,2026-08-03,23.0
100956,SKU75171,大米,粮油调味,4,2026-08-03,6.74
100956,SKU31443,白糖,粮油调味,2,2026-08-03,52.5
100956,SKU63860,垃圾袋,日化清洁,1,2026-08-03,56.25
100956,SKU29344,蔬菜拼盘,火锅食材,3,2026-08-03,70.4
100957,SKU71345,芝士碎,烘焙用品,4,2026-04-15,17.5
100957,SKU18119,黄油,烘焙用品,1,2026-04-15,11.58
100957,SKU92483,洗洁精,日化清洁,1,2026-04-15,74.23
100958,SKU96282,排骨,肉禽蛋品,3,2026-06-27,52.98
100958,SKU29920,胡萝卜,生鲜蔬果,1,2026-06-27,5.8
100958,SKU33354,土豆,生鲜蔬果,4,2026-06-27,68.94
100958,SKU34419,生菜,生鲜蔬果,2,2026-06-27,8.06
100958,SKU35541,白菜,生鲜蔬果,3,2026-06-27,38.66
100958,SKU89195,肥皂,日化清洁,1,2026-06-27,35.76
100959,SKU21382,料酒,粮油调味,5,2026-05-08,65.07
100959,SKU14598,蛋糕粉,烘焙用品,4,2026-05-08,79.5
100960,SKU33070,苹果,生鲜蔬果,5,2026-04-04,62.72
100960,SKU34443,香蕉,生鲜蔬果,1,2026-04-04,49.27
100960,SKU73522,橙子,生鲜蔬果,5,2026-04-04,58.92
100960,SKU58959,沐浴露,日化清洁,2,2026-04-04,29.49
100960,SKU96412,带鱼,肉禽蛋品,5,2026-04-04,30.12
100961,SKU32846,蛋糕粉,烘焙用品,5,2026-04-08,49.46
100961,SKU72086,黄油,烘焙用品,1,2026-04-08,25.12
100961,SKU39556,淡奶油,烘焙用品,2,2026-04-08,63.2
100961,SKU65944,鸡蛋,肉禽蛋品,2,2026-04-08,20.45
100961,SKU14555,糖粉,烘焙用品,1,2026-04-08,42.06
100961,SKU16416,辣椒酱,粮油调味,4,2026-04-08,33.58
100961,SKU15971,醋,粮油调味,5,2026-04-08,78.16
100962,SKU36201,排骨,肉禽蛋品,2,2026-09-06,66.89
100962,SKU11855,胡萝卜,生鲜蔬果,4,2026-09-06,5.97
100962,SKU61960,土豆,生鲜蔬果,4,2026-09-06,12.6
100962,SKU82564,毛肚,火锅食材,1,2026-09-06,30.27
100963,SKU43852,牛肉,肉禽蛋品,3,2026-04-18,44.13
100963,SKU52508,羊肉卷,火锅食材,4,2026-04-18,39.84
100963,SKU27173,芝士碎,烘焙用品,4,2026-04-18,61.04
100964,SKU23910,带鱼,肉禽蛋品,5,2026-03-07,4.3
100964,SKU30180,虾仁,肉禽蛋品,5,2026-03-07,25.49
100964,SKU97864,大米,粮油调味,3,2026-03-07,46.14
100965,SKU90993,食用油,粮油调味,1,2026-03-23,32.03
100965,SKU95994,纸巾,日化清洁,3,2026-03-23,19.25
100965,SKU41751,黄油,烘焙用品,1,2026-03-23,72.32
100966,SKU99610,鸭蛋,肉禽蛋品,1,2026-08-28,23.91
100966,SKU40974,蘸料,火锅食材,4,2026-08-28,24.24
100967,SKU96506,巧克力,食品饮料,2,2026-01-16,4.04
100967,SKU60510,排骨,肉禽蛋品,1,2026-01-16,19.92
100967,SKU17514,洗洁精,日化清洁,2,2026-01-16,33.9
100968,SKU51134,可乐,食品饮料,3,2026-09-26,32.73
100968,SKU15902,薯片,食品饮料,3,2026-09-26,63.89
100968,SKU84537,饼干,食品饮料,3,2026-09-26,27.52
100968,SKU92078,火锅底料,火锅食材,1,2026-09-26,64.54
100969,SKU98241,西红柿,生鲜蔬果,5,2026-02-12,62.01
100969,SKU45601,鸡蛋,肉禽蛋品,3,2026-02-12,28.41
100969,SKU97887,黄瓜,生鲜蔬果,1,2026-02-12,46.86
100969,SKU59279,胡萝卜,生鲜蔬果,1,2026-02-12,47.37
100970,SKU10069,洗发水,日化清洁,1,2026-04-19,39.74
100970,SKU32115,沐浴露,日化清洁,2,2026-04-19,4.4
100970,SKU97380,牙膏,日化清洁,4,2026-04-19,78.18
100970,SKU95462,纸巾,日化清洁,1,2026-04-19,8.48
100970,SKU96721,酱油,粮油调味,4,2026-04-19,10.4
100971,SKU94838,洗衣液,日化清洁,4,2026-02-05,43.96
100971,SKU84238,纸巾,日化清洁,4,2026-02-05,34.26
100971,SKU19724,垃圾袋,日化清洁,5,2026-02-05,39.54
100971,SKU73422,酸奶,食品饮料,2,2026-02-05,35.83
100971,SKU88897,芝士碎,烘焙用品,2,2026-02-05,9.15
100971,SKU95463,黄油,烘焙用品,2,2026-02-05,13.15
100972,SKU93545,洗发水,日化清洁,4,2026-07-22,30.14
100972,SKU99776,豆腐,火锅食材,2,2026-07-22,75.43
100972,SKU50470,蘸料,火锅食材,5,2026-07-22,72.31
100972,SKU22018,火锅底料,火锅食材,2,2026-07-22,11.88
100972,SKU34690,蔬菜拼盘,火锅食材,4,2026-07-22,28.32
100973,SKU19077,牙膏,日化清洁,2,2026-01-17,12.32
100973,SKU55757,酱油,粮油调味,3,2026-01-17,67.85
100973,SKU45689,辣椒酱,粮油调味,4,2026-01-17,65.18
100973,SKU69781,排骨,肉禽蛋品,3,2026-01-17,46.35
100973,SKU16545,虾仁,肉禽蛋品,3,2026-01-17,39.96
100973,SKU83565,香蕉,生鲜蔬果,1,2026-01-17,13.8
100974,SKU87736,洗发水,日化清洁,3,2026-08-13,47.07
100974,SKU21668,沐浴露,日化清洁,4,2026-08-13,74.1
100974,SKU60548,牙膏,日化清洁,4,2026-08-13,65.85
100974,SKU14426,芝士碎,烘焙用品,3,2026-08-13,35.85
100974,SKU14328,羊肉卷,火锅食材,3,2026-08-13,69.06
100974,SKU56268,黄油,烘焙用品,1,2026-08-13,34.32
100975,SKU90800,洗衣液,日化清洁,3,2026-06-23,46.51
100975,SKU67852,纸巾,日化清洁,2,2026-06-23,77.14
100975,SKU93229,垃圾袋,日化清洁,1,2026-06-23,11.46
100975,SKU28003,拖把,日化清洁,5,2026-06-23,53.06
100976,SKU24433,牛奶,食品饮料,2,2026-07-08,31.34
100976,SKU70643,面包,食品饮料,2,2026-07-08,43.73
100976,SKU65910,肥皂,日化清洁,4,2026-07-08,54.93
100976,SKU20271,油纸,烘焙用品,3,2026-07-08,21.08
100976,SKU78749,黄瓜,生鲜蔬果,3,2026-07-08,50.28
100977,SKU53307,蛋糕粉,烘焙用品,4,2026-09-27,22.1
100977,SKU48293,沐浴露,日化清洁,3,2026-09-27,70.35
100977,SKU43737,可乐,食品饮料,2,2026-09-27,26.67
100977,SKU50023,淡奶油,烘焙用品,1,2026-09-27,63.96
100978,SKU45342,酸奶,食品饮料,2,2026-02-13,47.27
100978,SKU78920,蔬菜拼盘,火锅食材,4,2026-02-13,23.31
100978,SKU39429,方便面,食品饮料,5,2026-02-13,16.19
100978,SKU75602,薯片,食品饮料,1,2026-02-13,48.69
100978,SKU72525,香草精,烘焙用品,4,2026-02-13,12.88
100978,SKU97688,可乐,食品饮料,2,2026-02-13,79.1
100979,SKU18022,饼干,食品饮料,5,2026-09-21,37.31
100979,SKU72749,鸡肉,肉禽蛋品,2,2026-09-21,11.87
100979,SKU49499,酸奶,食品饮料,1,2026-09-21,39.88
100979,SKU47626,大米,粮油调味,5,2026-09-21,29.78
100979,SKU71946,鸡蛋,肉禽蛋品,4,2026-09-21,31.53
100979,SKU26470,黄瓜,生鲜蔬果,5,2026-09-21,13.16
100980,SKU29448,西红柿,生鲜蔬果,4,2026-01-08,74.53
100980,SKU17157,鸡蛋,肉禽蛋品,5,2026-01-08,20.21
100980,SKU56631,黄瓜,生鲜蔬果,1,2026-01-08,13.89
100980,SKU25046,芝士碎,烘焙用品,1,2026-01-08,13.5
100980,SKU70485,矿泉水,食品饮料,2,2026-01-08,59.51
100981,SKU98806,大米,粮油调味,5,2026-06-28,28.98
100981,SKU82794,食用油,粮油调味,4,2026-06-28,77.22
100981,SKU20339,酱油,粮油调味,4,2026-06-28,77.76
100981,SKU19015,蛋糕粉,烘焙用品,5,2026-06-28,49.93
100981,SKU82423,醋,粮油调味,3,2026-06-28,57.35
100981,SKU52894,牙膏,日化清洁,3,2026-06-28,17.56
100982,SKU36830,火锅底料,火锅食材,5,2026-07-13,31.57
100982,SKU34968,丸子,火锅食材,3,2026-07-13,71.55
100982,SKU97916,肥牛卷,火锅食材,4,2026-07-13,15.13
100982,SKU42592,蔬菜拼盘,火锅食材,2,2026-07-13,5.58
100983,SKU40407,方便面,食品饮料,1,2026-04-10,4.44
100983,SKU64484,淡奶油,烘焙用品,4,2026-04-10,57.99
100983,SKU98447,白糖,粮油调味,5,2026-04-10,60.09
100984,SKU46776,苹果,生鲜蔬果,2,2026-07-26,46.82
100984,SKU16569,洗衣液,日化清洁,4,2026-07-26,61.0
100985,SKU49596,糖粉,烘焙用品,2,2026-03-26,79.5
100985,SKU17660,可乐,食品饮料,2,2026-03-26,67.79
100985,SKU58052,生菜,生鲜蔬果,2,2026-03-26,20.59
100985,SKU83280,油纸,烘焙用品,1,2026-03-26,15.58
100985,SKU65328,方便面,食品饮料,5,2026-03-26,75.71
100986,SKU30095,大米,粮油调味,2,2026-07-11,43.06
100986,SKU11221,食用油,粮油调味,5,2026-07-11,64.08
100986,SKU53278,酱油,粮油调味,2,2026-07-11,4.25
100986,SKU24130,盐,粮油调味,4,2026-07-11,47.17
100987,SKU67799,土豆,生鲜蔬果,3,2026-04-07,34.44
100987,SKU26102,蚝油,粮油调味,1,2026-04-07,59.52
100987,SKU57867,盐,粮油调味,4,2026-04-07,63.32
100988,SKU17427,丸子,火锅食材,2,2026-01-15,72.2
100988,SKU58522,沐浴露,日化清洁,2,2026-01-15,24.41
100988,SKU32680,洗衣液,日化清洁,2,2026-01-15,7.32
100989,SKU27276,肥牛卷,火锅食材,2,2026-04-24,23.86
100989,SKU48797,面粉,粮油调味,1,2026-04-24,12.78
100989,SKU86221,牛奶,食品饮料,4,2026-04-24,8.24
100989,SKU31370,白菜,生鲜蔬果,1,2026-04-24,10.0
100990,SKU43940,橙子,生鲜蔬果,4,2026-03-22,73.55
100990,SKU23315,肥皂,日化清洁,5,2026-03-22,38.62
100990,SKU74905,葡萄,生鲜蔬果,4,2026-03-22,52.45
100990,SKU64253,糖粉,烘焙用品,3,2026-03-22,66.51
100991,SKU67764,酱油,粮油调味,5,2026-02-20,70.17
100991,SKU71493,方便面,食品饮料,2,2026-02-20,63.72
100991,SKU18400,橙子,生鲜蔬果,2,2026-02-20,29.14
100991,SKU88485,拖把,日化清洁,2,2026-02-20,14.98
100991,SKU86668,垃圾袋,日化清洁,1,2026-02-20,64.81
100991,SKU79963,辣椒酱,粮油调味,3,2026-02-20,32.67
100992,SKU69161,洗发水,日化清洁,2,2026-05-23,51.29
100992,SKU20001,沐浴露,日化清洁,5,2026-05-23,62.25
100992,SKU21080,牙膏,日化清洁,2,2026-05-23,10.68
100992,SKU25627,虾仁,肉禽蛋品,1,2026-05-23,78.41
100992,SKU77307,酸奶,食品饮料,5,2026-05-23,38.26
100992,SKU55436,肥牛卷,火锅食材,1,2026-05-23,21.15
100993,SKU39561,橙子,生鲜蔬果,1,2026-09-14,64.44
100993,SKU23574,胡萝卜,生鲜蔬果,5,2026-09-14,14.63
100993,SKU90904,模具,烘焙用品,5,2026-09-14,77.82
100993,SKU33357,蔬菜拼盘,火锅食材,3,2026-09-14,56.47
100993,SKU24338,肥牛卷,火锅食材,5,2026-09-14,27.51
100993,SKU33003,果汁,食品饮料,4,2026-09-14,10.86
100994,SKU47914,酸奶,食品饮料,2,2026-03-16,4.65
100994,SKU59241,蚝油,粮油调味,2,2026-03-16,14.11
100994,SKU52008,模具,烘焙用品,2,2026-03-16,32.02
100994,SKU94678,酱油,粮油调味,3,2026-03-16,48.51
100995,SKU48591,西红柿,生鲜蔬果,2,2026-07-28,78.16
100995,SKU12427,蔬菜拼盘,火锅食材,3,2026-07-28,37.1
100995,SKU77969,盐,粮油调味,3,2026-07-28,41.67
100996,SKU59045,黄瓜,生鲜蔬果,2,2026-08-17,3.79
100996,SKU76517,饼干,食品饮料,5,2026-08-17,55.6
100996,SKU51054,油纸,烘焙用品,3,2026-08-17,8.5
100996,SKU68745,土豆,生鲜蔬果,2,2026-08-17,63.68
100997,SKU88346,蛋糕粉,烘焙用品,2,2026-08-09,75.97
100997,SKU45128,蛋挞皮,烘焙用品,3,2026-08-09,34.89
100997,SKU75274,白糖,粮油调味,2,2026-08-09,37.83
100998,SKU62345,纸巾,日化清洁,4,2026-08-11,9.2
100998,SKU28580,带鱼,肉禽蛋品,3,2026-08-11,44.79
100998,SKU95736,土豆,生鲜蔬果,5,2026-08-11,13.3
100999,SKU63806,带鱼,肉禽蛋品,1,2026-06-19,27.84
100999,SKU87517,可乐,食品饮料,2,2026-06-19,6.24
100999,SKU97141,鸭蛋,肉禽蛋品,3,2026-06-19,27.32
101000,SKU19961,带鱼,肉禽蛋品,1,2026-07-08,36.22
101000,SKU91723,淡奶油,烘焙用品,3,2026-07-08,54.07
101000,SKU97663,食用油,粮油调味,5,2026-07-08,5.08
101000,SKU35497,果汁,食品饮料,5,2026-07-08,29.15
101000,SKU39233,酱油,粮油调味,2,2026-07-08,58.74
101001,SKU30582,饼干,食品饮料,2,2026-09-25,57.24
101001,SKU20971,蘸料,火锅食材,1,2026-09-25,66.06
101002,SKU24765,蛋糕粉,烘焙用品,3,2026-03-28,42.37
101002,SKU67074,黄油,烘焙用品,3,2026-03-28,44.45
101002,SKU75470,淡奶油,烘焙用品,5,2026-03-28,35.12
101002,SKU11105,鸡蛋,肉禽蛋品,4,2026-03-28,25.94
101002,SKU24383,肥皂,日化清洁,1,2026-03-28,61.8
101003,SKU27506,洗发水,日化清洁,3,2026-09-11,79.14
101003,SKU60890,沐浴露,日化清洁,1,2026-09-11,6.28
101003,SKU75860,牙膏,日化清洁,2,2026-09-11,46.89
101003,SKU78736,拖把,日化清洁,4,2026-09-11,37.05
101004,SKU26947,洗洁精,日化清洁,1,2026-08-08,48.88
101004,SKU33631,拖把,日化清洁,2,2026-08-08,25.81
101004,SKU67162,黄油,烘焙用品,1,2026-08-08,50.01
101004,SKU35337,可乐,食品饮料,2,2026-08-08,16.79
101004,SKU18383,豆腐,火锅食材,2,2026-08-08,4.32
101004,SKU90181,巧克力,食品饮料,1,2026-08-08,24.89
101005,SKU24669,火锅底料,火锅食材,5,2026-05-18,62.48
101005,SKU90608,丸子,火锅食材,1,2026-05-18,39.27
101005,SKU63248,肥牛卷,火锅食材,4,2026-05-18,14.81
101005,SKU90342,鸭血,火锅食材,5,2026-05-18,49.92
101006,SKU82030,大米,粮油调味,2,2026-05-19,11.54
101006,SKU66621,鸭血,火锅食材,1,2026-05-19,7.39
101007,SKU31141,蛋糕粉,烘焙用品,3,2026-07-14,75.09
101007,SKU81299,黄油,烘焙用品,5,2026-07-14,28.92
101007,SKU22630,淡奶油,烘焙用品,4,2026-07-14,17.52
101007,SKU16083,鸡蛋,肉禽蛋品,1,2026-07-14,27.78
101007,SKU45409,西红柿,生鲜蔬果,3,2026-07-14,65.34
101007,SKU40794,葡萄,生鲜蔬果,2,2026-07-14,71.24
101008,SKU18185,大米,粮油调味,5,2026-09-23,62.08
101008,SKU79990,食用油,粮油调味,1,2026-09-23,37.73
101008,SKU69950,酱油,粮油调味,4,2026-09-23,15.63
101008,SKU39771,酵母,烘焙用品,4,2026-09-23,74.88
101008,SKU37106,面粉,粮油调味,2,2026-09-23,67.98
101009,SKU93230,料酒,粮油调味,1,2026-09-20,41.94
101009,SKU81084,丸子,火锅食材,1,2026-09-20,71.01
101009,SKU69621,淡奶油,烘焙用品,4,2026-09-20,16.63
101010,SKU30558,鸡蛋,肉禽蛋品,2,2026-02-08,54.11
101010,SKU89793,西红柿,生鲜蔬果,2,2026-02-08,72.31
101010,SKU80852,胡萝卜,生鲜蔬果,2,2026-02-08,10.63
101010,SKU39334,醋,粮油调味,5,2026-02-08,59.29
101011,SKU22448,生菜,生鲜蔬果,4,2026-06-06,40.96
101011,SKU92463,豆腐,火锅食材,1,2026-06-06,35.53
101011,SKU31895,丸子,火锅食材,3,2026-06-06,66.57
101011,SKU80546,洗洁精,日化清洁,1,2026-06-06,51.88
101011,SKU95745,土豆,生鲜蔬果,5,2026-06-06,10.73
101011,SKU19838,黄油,烘焙用品,3,2026-06-06,22.05
101012,SKU94312,鸭蛋,肉禽蛋品,5,2026-03-15,68.7
101012,SKU49178,模具,烘焙用品,2,2026-03-15,44.66
101012,SKU33356,毛肚,火锅食材,3,2026-03-15,53.88
101012,SKU29749,纸巾,日化清洁,1,2026-03-15,79.28
101012,SKU62330,酵母,烘焙用品,4,2026-03-15,32.02
101013,SKU87748,纸巾,日化清洁,3,2026-09-13,50.49
101013,SKU31300,鸡肉,肉禽蛋品,5,2026-09-13,71.62
101013,SKU88950,三文鱼,肉禽蛋品,3,2026-09-13,28.11
101013,SKU92349,洗洁精,日化清洁,3,2026-09-13,54.68
101013,SKU49041,香草精,烘焙用品,1,2026-09-13,61.83
101013,SKU89669,白糖,粮油调味,2,2026-09-13,47.61
101014,SKU49913,排骨,肉禽蛋品,4,2026-01-15,48.45
101014,SKU85247,胡萝卜,生鲜蔬果,1,2026-01-15,61.86
101014,SKU12830,土豆,生鲜蔬果,5,2026-01-15,33.52
101014,SKU88025,淡奶油,烘焙用品,5,2026-01-15,3.3
101015,SKU35367,面包,食品饮料,1,2026-08-10,76.43
101015,SKU49618,纸巾,日化清洁,5,2026-08-10,64.75
101015,SKU41789,可乐,食品饮料,1,2026-08-10,34.64
101015,SKU78024,黄油,烘焙用品,3,2026-08-10,67.59
101015,SKU86221,薯片,食品饮料,3,2026-08-10,18.88
101016,SKU31845,果汁,食品饮料,1,2026-09-26,64.01
101016,SKU11299,蘸料,火锅食材,5,2026-09-26,65.08
101016,SKU25501,白菜,生鲜蔬果,3,2026-09-26,77.29
101016,SKU28289,方便面,食品饮料,1,2026-09-26,15.63
101016,SKU62456,洗衣液,日化清洁,4,2026-09-26,6.01
101017,SKU43117,土豆,生鲜蔬果,2,2026-05-18,23.83
101017,SKU39024,蔬菜拼盘,火锅食材,3,2026-05-18,43.05
101018,SKU72092,醋,粮油调味,5,2026-01-18,48.82
101018,SKU23891,香蕉,生鲜蔬果,3,2026-01-18,67.17
101018,SKU41006,牙膏,日化清洁,5,2026-01-18,29.77
101018,SKU68599,丸子,火锅食材,1,2026-01-18,14.5
101018,SKU16192,巧克力,食品饮料,3,2026-01-18,73.47
101018,SKU99084,牛奶,食品饮料,1,2026-01-18,19.39
101019,SKU56849,可乐,食品饮料,2,2026-06-24,4.33
101019,SKU83132,薯片,食品饮料,4,2026-06-24,25.54
101019,SKU35111,饼干,食品饮料,3,2026-06-24,62.08
101019,SKU97158,纸巾,日化清洁,4,2026-06-24,78.36
101020,SKU79575,毛肚,火锅食材,1,2026-05-14,53.33
101020,SKU94245,丸子,火锅食材,4,2026-05-14,15.47
101021,SKU48748,洗衣液,日化清洁,1,2026-01-01,20.78
101021,SKU43038,纸巾,日化清洁,3,2026-01-01,76.13
101021,SKU15670,垃圾袋,日化清洁,2,2026-01-01,49.31
101021,SKU97197,肥皂,日化清洁,4,2026-01-01,40.26
101021,SKU83220,排骨,肉禽蛋品,3,2026-01-01,76.51
101022,SKU26521,矿泉水,食品饮料,2,2026-07-27,63.63
101022,SKU55114,苹果,生鲜蔬果,1,2026-07-27,27.92
101022,SKU72611,消毒液,日化清洁,5,2026-07-27,49.0
101023,SKU93257,酱油,粮油调味,3,2026-03-11,21.17
101023,SKU13853,排骨,肉禽蛋品,3,2026-03-11,36.85
